;id;ZL;Artikel;FarbNr;Farbe;GrNr;Groesse;Lagerplatz;Bez;Erfasser;Zählmenge;ItemNo;ArtikelID;StorageID;Total_Value;Counted
12;41624;A-1;0471;001;weiß;008;2XL;A-1-05-A-4;HAKRO Sweatshirt Premium;Team33;60+60+19;0471001008;8484a91a-efd1-4400-9412-96a1f681eb8f;b37fbac9-ca3f-4ed2-8e6a-130633e9ac26;139;1
13;41625;A-1;0471;001;weiß;009;3XL;A-1-07-A-4;HAKRO Sweatshirt Premium;Team33;14+20+48;0471001009;1adaa9a1-934f-4248-870f-bb1f73a09f44;02a25e27-967e-4784-b539-b0b9e262f59a;82;1
14;41626;A-1;0471;005;schwarz;003;XS;A-1-09-A-1;HAKRO Sweatshirt Premium;Team33;60+80+15;0471005003;7dd625dd-f2b2-40f6-9451-63471658ab67;a0d25745-6721-4954-a21a-a2ecdd0cb7b7;155;1
15;41627;A-1;0471;005;schwarz;004;S;A-1-11-A-1;HAKRO Sweatshirt Premium;Team33;40+20+14;0471005004;f874e0c3-2fbc-49d7-aa7c-9834a52e9ea4;5ab3638d-9451-47dc-a55b-0da9fe616195;74;1
16;41628;A-1;0471;005;schwarz;005;M;A-1-09-A-2;HAKRO Sweatshirt Premium;Team33;60+60+19;0471005005;4da5e884-a2dc-4e99-a6bf-62aa87e13d7d;2eb2eed2-9ddb-486f-892e-ee7b1a6ac786;139;1
17;41629;A-1;0471;005;schwarz;006;L;A-1-11-A-2;HAKRO Sweatshirt Premium;Team33;80+60+11;0471005006;425ced09-1067-4715-8a48-3b70b863bb80;4759fb83-a746-4aff-9b75-9e47ccf3e698;151;1
18;41630;A-1;0471;005;schwarz;007;XL;A-1-09-A-3;HAKRO Sweatshirt Premium;Team33;62+80+80+60+15;0471005007;61bde40c-9bd3-47a8-8441-7619240a8809;097b960b-06ee-4617-9278-f9fd4db6f54f;297;1
19;41631;A-1;0471;005;schwarz;008;2XL;A-1-09-A-4;HAKRO Sweatshirt Premium;Team33;60+83;0471005008;840f21bf-124e-4158-8117-55c8313ea9e9;c7464296-5fbb-46ce-945f-ae3ae2a043cd;143;1
20;41632;A-1;0471;005;schwarz;009;3XL;A-1-11-A-4;HAKRO Sweatshirt Premium;Team33;60+40+2;0471005009;e86e6ff1-e823-408d-a37e-fd3d50f2d49b;f92c9c31-a55c-4c07-9cdd-1db8673154ed;102;1
21;41633;A-1;0471;002;rot;003;XS;A-1-13-A-1;HAKRO Sweatshirt Premium;Team33;40+16+80;0471002003;b92031ab-7ce5-450e-9d0b-8cf497737fc0;ec44a11f-b400-4626-9b2b-c99a9b89ea82;136;1
22;41634;A-1;0471;002;rot;004;S;A-1-15-A-1;HAKRO Sweatshirt Premium;Team33;0+13;0471002004;1ed916ac-ef1b-4c7b-aafc-08356ffa4114;aa9f71fd-576d-4319-9343-5b58aadcf281;13;1
23;41635;A-1;0471;002;rot;005;M;A-1-13-A-2;HAKRO Sweatshirt Premium;Team33;20+16;0471002005;12e537e0-43f7-4bb9-be26-c698d9cea96d;f5ec2a5f-13f4-48af-b9fd-004ba12b879f;36;1
24;41636;A-1;0471;002;rot;006;L;A-1-15-A-2;HAKRO Sweatshirt Premium;Team33;40+14;0471002006;ce1e1ccf-c7b0-4602-af79-b4384cfdd67b;ca06b750-941d-4f81-bbcc-7fe38af3ff6f;54;1
25;41637;A-1;0471;002;rot;007;XL;A-1-13-A-3;HAKRO Sweatshirt Premium;Team33;0+0+0+5;0471002007;f507c7ef-3721-4b7a-9dc4-9bb6dada9858;d47f68b2-7775-4a3e-9daf-e5d144cc3d25;5;1
26;41638;A-1;0471;002;rot;008;2XL;A-1-13-A-4;HAKRO Sweatshirt Premium;Team33;20+6;0471002008;8be2b558-2a99-4d86-a286-d95d0ef901f2;b487bcde-a486-41ff-9dbf-aabb51317e35;26;1
27;41639;A-1;0471;002;rot;009;3XL;A-1-15-A-4;HAKRO Sweatshirt Premium;Team33;0+9;0471002009;771f48dd-a54b-4627-8d0f-9efad16b9afb;f1c93537-a680-4440-b6a5-81357b52d2df;9;1
28;41640;A-1;0471;043;titan;003;XS;A-1-17-A-1;HAKRO Sweatshirt Premium;Team33;15+40+6;0471043003;9101cd42-3b14-468d-9233-59db5e3fa97e;fe0db4f7-541e-4b45-98db-e60b18431eb9;61;1
29;41641;A-1;0471;043;titan;004;S;A-1-18-A-1;HAKRO Sweatshirt Premium;Team33;2;0471043004;497a0ec2-ec80-4774-b92d-5db09ab1861f;d891b8c9-2a2c-417d-9068-38871e58234e;2;1
30;41642;A-1;0471;043;titan;005;M;A-1-17-A-2;HAKRO Sweatshirt Premium;Team33;13;0471043005;57625dc5-a9bc-4dbd-9ea0-dd8ec3857f24;49382ffc-eae3-409a-a567-09bfa9e3b969;13;1
31;41643;A-1;0471;043;titan;006;L;A-1-18-A-2;HAKRO Sweatshirt Premium;Team33;18;0471043006;ee195961-72e5-4d7e-8088-82e036416e1e;656e4c52-85fb-4e6c-b5d5-19dc4b3b2f77;18;1
32;41644;A-1;0471;043;titan;007;XL;A-1-17-A-3;HAKRO Sweatshirt Premium;Team33;0+1;0471043007;44c4773e-90b4-48fa-88e3-ecf368439123;e5812735-262f-4015-9fbc-77564133c212;1;1
33;41645;A-1;0471;043;titan;008;2XL;A-1-17-A-4;HAKRO Sweatshirt Premium;Team33;0;0471043008;3792b690-56d6-4617-bc9b-024467c55b26;337503d7-b3eb-436f-8166-202cb0ec44ec;0;1
34;41646;A-1;0471;043;titan;009;3XL;A-1-18-A-4;HAKRO Sweatshirt Premium;Team33;0;0471043009;2583f2a5-73bb-44a6-8b00-c68ad47f63af;8a0e1793-a766-42ea-8fc1-b6709dbf147c;0;1
35;41647;A-1;0471;015;grau-meliert;003;XS;A-1-21-A-1;HAKRO Sweatshirt Premium;Team34;20+20+20+20+3;0471015003;0ec1824d-334c-4c0a-9468-08c18815dbb2;ef4c9fda-3a32-49c7-a619-de51a3155015;83;1
36;41648;A-1;0471;015;grau-meliert;004;S;A-1-23-A-1;HAKRO Sweatshirt Premium;Team34;0+20+3;0471015004;27b55000-918e-4bed-a227-09b8372164fa;de4ac2ba-ff1a-462b-961f-c1a24054ae34;23;1
37;41649;A-1;0471;015;grau-meliert;005;M;A-1-21-A-2;HAKRO Sweatshirt Premium;Team34;20+20+20+20+20+20+20+2;0471015005;50eaf330-daef-4d73-b63e-e6fdf6f628f0;be7648a7-c7b8-48f5-86ca-27a02ea7276d;142;1
38;41650;A-1;0471;015;grau-meliert;006;L;A-1-23-A-2;HAKRO Sweatshirt Premium;Team34;20+20+20+7;0471015006;a7bccab6-6692-41e4-96f2-68a4e78f71c3;27142766-580a-4d17-8398-d4e13ed0bcc1;67;1
39;41651;A-1;0471;015;grau-meliert;007;XL;A-1-21-A-3;HAKRO Sweatshirt Premium;Team34;25+25+20+20+25+25+25+13+25+25+25;0471015007;997faa51-44e3-4323-9d63-e7b820306deb;d85b84b0-d846-460d-8688-e03ea738687f;253;1
40;41652;A-1;0471;015;grau-meliert;008;2XL;A-1-21-A-4;HAKRO Sweatshirt Premium;Team34;20+13+20;0471015008;51690e1f-7b33-4bd2-afb1-79bf825fc2d9;cf13f3c8-2f52-4bd1-919e-3dd2ed00dca4;53;1
41;41653;A-1;0471;015;grau-meliert;009;3XL;A-1-23-A-4;HAKRO Sweatshirt Premium;Team34;20+20+2+20+20+20+20;0471015009;486e6fb1-4326-46f3-adf4-ef22220fddba;10c8617f-1863-47d8-a796-64827e0e0ea1;122;1
42;41654;A-1;0471;028;anthrazit;003;XS;A-1-25-A-1;HAKRO Sweatshirt Premium;Team34;20+20+6;0471028003;e7de8525-294c-4f66-843a-2bff2bbbd4f9;36f48741-884f-48d6-bb79-2ff90ac69a2d;46;1
43;41655;A-1;0471;028;anthrazit;004;S;A-1-26-A-1;HAKRO Sweatshirt Premium;Team34;20+20+20+15;0471028004;bda047f6-3ace-4a53-8aea-d62e56ca7e81;d1c9a64b-8601-47ec-aa37-0c0673ebd30e;75;1
44;41656;A-1;0471;028;anthrazit;005;M;A-1-25-A-2;HAKRO Sweatshirt Premium;Team34;20+20+20+6;0471028005;492d21a7-cf4f-4453-a57d-bddc331b2822;b5c4f4d1-5347-4074-b8e1-0df983ff33d0;66;1
45;41657;A-1;0471;028;anthrazit;006;L;A-1-26-A-2;HAKRO Sweatshirt Premium;Team34;20+20+20+19;0471028006;e938e0ab-1034-4a25-bb3d-016da84f61c3;7c406e15-5861-4ce2-ab45-bfbf9c8a7b1e;79;1
46;41658;A-1;0471;028;anthrazit;007;XL;A-1-25-A-3;HAKRO Sweatshirt Premium;Team34;25+25+25+25+25+25+25+14;0471028007;bbb29017-87c1-473a-a546-61ef9c94c217;792b6b5d-0f1f-46ce-9766-9ef87f861a8b;189;1
47;41659;A-1;0471;028;anthrazit;008;2XL;A-1-25-A-4;HAKRO Sweatshirt Premium;Team34;17;0471028008;4b5554cf-c31b-4234-b411-81ca32900e2d;b4ab3e4f-d8ea-4c57-bcfd-2e13da7b7a7d;17;1
48;41660;A-1;0471;028;anthrazit;009;3XL;A-1-26-A-4;HAKRO Sweatshirt Premium;Team34;12;0471028009;4241db85-1d56-4126-b7aa-08bd91619372;3e613cac-8f42-4814-865f-31e7e9078245;12;1
49;41661;A-1;0471;010;royal;003;XS;A-1-27-A-1;HAKRO Sweatshirt Premium;Team34;20+20+20+12;0471010003;8df21ab8-c563-4d13-b43b-ad352d27f5ae;97109846-6374-4bff-9b6e-d00a3ca9915a;72;1
50;41662;A-1;0471;010;royal;004;S;A-1-28-A-1;HAKRO Sweatshirt Premium;Team34;20+13;0471010004;5fdd2d08-73f6-44b7-9eb7-6fc92e2e6cf4;301c0b78-959d-4956-bbf8-6f056bb69a0e;33;1
51;41663;A-1;0471;010;royal;005;M;A-1-27-A-2;HAKRO Sweatshirt Premium;Team34;20+20+19;0471010005;95051ab8-cb85-481a-b296-bf95ffd87f29;825c688b-b1ea-4a5a-a8b2-1ee33e8aaa66;59;1
52;41664;A-1;0471;010;royal;006;L;A-1-28-A-2;HAKRO Sweatshirt Premium;Team34;20+22;0471010006;ae558c08-a983-4c2a-9fa7-7e976c4b2f54;169c7a8e-d6a1-46fb-a159-b3dcdd849ebb;42;1
53;41665;A-1;0471;010;royal;007;XL;A-1-27-A-3;HAKRO Sweatshirt Premium;Team34;20+20+20+20+20+20+18+5;0471010007;e7068c3f-6c19-4bcb-80c7-2011979d7003;115890ab-997b-439c-ba83-e44f7be63196;143;1
54;41666;A-1;0471;010;royal;008;2XL;A-1-27-A-4;HAKRO Sweatshirt Premium;Team34;20+4;0471010008;a2fe6e2c-dc27-41f8-b453-6f65ebe138c2;d9859071-8e27-4111-a8fe-31526e7c54ee;24;1
55;41667;A-1;0471;010;royal;009;3XL;A-1-28-A-4;HAKRO Sweatshirt Premium;Team34;20+20+20+3;0471010009;da2a6e29-7eae-40f8-a1e8-8811fe87d0d3;c7d77429-a52f-486a-8514-0fbc5d15d56c;63;1
56;41668;A-1;0471;042;graphit;003;XS;A-1-29-A-1;HAKRO Sweatshirt Premium;Team34;15;0471042003;30debe32-4ef2-4921-b21d-5e1414e245ff;d58c7ef6-9338-43e4-98c7-1328eff3b4c1;15;1
57;41669;A-1;0471;042;graphit;004;S;A-1-30-A-1;HAKRO Sweatshirt Premium;Team34;20+6;0471042004;7bc97e5c-f784-4b3d-bbf3-4c1b0b4fdd9e;c1c36584-a461-4167-9918-c94919a5979f;26;1
58;41670;A-1;0471;042;graphit;005;M;A-1-29-A-2;HAKRO Sweatshirt Premium;Team34;20+20+9;0471042005;c565a92b-d31b-4965-b47f-08af0aec0013;63c5dc8e-b0d6-4609-9b52-ac333bc9eb9e;49;1
59;41671;A-1;0471;042;graphit;006;L;A-1-30-A-2;HAKRO Sweatshirt Premium;Team34;20+20+20+20;0471042006;83ed6db6-63c7-4654-8e32-a5bb533f63ce;dd477d99-2912-4bcc-89f2-ebf36670b0f2;80;1
60;41672;A-1;0471;042;graphit;007;XL;A-1-29-A-3;HAKRO Sweatshirt Premium;Team34;25+25+25+25+25+25+25+8;0471042007;164e257b-dddb-4d53-a2f6-47276327d234;aa4cf9eb-490e-45cf-b4e6-c16e618436c7;183;1
61;41673;A-1;0471;042;graphit;008;2XL;A-1-29-A-4;HAKRO Sweatshirt Premium;Team34;7;0471042008;817fcdec-df19-4f54-a5ca-e101951a6e6e;054fb8aa-a1b9-432f-a7b6-ccd823892cdb;7;1
62;41674;A-1;0471;042;graphit;009;3XL;A-1-30-A-4;HAKRO Sweatshirt Premium;Team34;3;0471042009;551327d2-085d-4b04-a655-b5746b6eb4cd;78317dfb-cf60-4151-8e2d-53f043b1d232;3;1
63;41675;A-1;0471;003;marine;003;XS;A-1-31-A-1;HAKRO Sweatshirt Premium;Team34;20+20+9;0471003003;822d2693-039e-4ab5-9794-e6e044589d3e;0208f792-1701-4051-a178-3b6f7aa35714;49;1
64;41676;A-1;0471;003;marine;004;S;A-1-32-A-1;HAKRO Sweatshirt Premium;Team34;3+20+20+20;0471003004;54d74c22-9b68-4c3d-89cb-dc134c0c96f0;30e1628d-1593-47e1-b390-ddbe071a80f8;63;1
65;41677;A-1;0471;003;marine;005;M;A-1-31-A-2;HAKRO Sweatshirt Premium;Team34;20+20+20+12;0471003005;15f1a481-b36f-45db-b2ae-3747c8273e6d;60045f92-5456-47c3-afc1-9fa33908ef95;72;1
66;41678;A-1;0471;003;marine;006;L;A-1-32-A-2;HAKRO Sweatshirt Premium;Team34;21;0471003006;44135123-9343-43f2-b023-062e9e66588f;ca55d640-b127-47df-a476-02d83cb11916;21;1
67;41679;A-1;0471;003;marine;007;XL;A-1-31-A-3;HAKRO Sweatshirt Premium;Team34;20+20+20+5+20+20+20+20;0471003007;73b6e406-ab56-4a96-a765-fb74cc4a8b13;9da0ee74-bad1-4389-91e9-e3578e691c85;145;1
68;41680;A-1;0471;003;marine;008;2XL;A-1-31-A-4;HAKRO Sweatshirt Premium;Team34;20+20+20+1;0471003008;febe64f7-a4ad-4f07-b73a-d263d849592f;97f2ab1b-adf9-4142-a984-83630e17db22;61;1
69;41681;A-1;0471;003;marine;009;3XL;A-1-32-A-4;HAKRO Sweatshirt Premium;Team34;20+20+20+6;0471003009;a5b8088c-fbda-4372-9e22-36de0baf56d7;bd6a303c-86f0-4235-9e24-91a36942424f;66;1
70;41682;A-1;0471;017;weinrot;003;XS;A-1-33-A-1;HAKRO Sweatshirt Premium;Team34;25+25+25+15;0471017003;24eea531-d7c5-4e82-aab1-63ccf5984d85;46e4c603-bd42-4301-9342-6b374e5f9ff2;90;1
71;41683;A-1;0471;017;weinrot;004;S;A-1-34-A-1;HAKRO Sweatshirt Premium;Team34;25+25+25+17;0471017004;d579a1d9-bac9-45ea-828e-d447b1fcc069;56e5f040-c1a2-440e-b117-f8359d9358d3;92;1
72;41684;A-1;0471;017;weinrot;005;M;A-1-33-A-2;HAKRO Sweatshirt Premium;Team34;11+23+20+20;0471017005;5350a744-27dc-4f53-b385-69d5bad75913;4756436d-4bca-45b8-9cb9-b9d6dd82d650;74;1
73;41685;A-1;0471;017;weinrot;006;L;A-1-34-A-2;HAKRO Sweatshirt Premium;Team34;25+25+25+25;0471017006;82d05a3b-19ea-4976-bb88-82f84e1a0a0f;5c78dc69-16bd-45fc-93f8-25091faf9fe9;100;1
74;41686;A-1;0471;017;weinrot;007;XL;A-1-33-A-3;HAKRO Sweatshirt Premium;Team34;23+2;0471017007;9bdb0a6c-b703-4516-b565-bf7c14fb008e;ded7b937-5cad-4c42-aac9-4df82a8fede7;25;1
75;41687;A-1;0471;017;weinrot;008;2XL;A-1-33-A-4;HAKRO Sweatshirt Premium;Team34;18;0471017008;8df08c27-5908-4014-8669-6096bedc3c03;360dcf92-1fb3-4db6-a516-0ff2e04f1654;18;1
76;41688;A-1;0471;017;weinrot;009;3XL;A-1-34-A-4;HAKRO Sweatshirt Premium;Team34;20+20+4;0471017009;26e43161-d2a2-4782-980c-90180b43cfc4;b46b3e99-5f97-4c3a-8523-b9476b632067;44;1
77;41689;A-1;0471;024;ash-meliert;003;XS;A-1-35-A-1;HAKRO Sweatshirt Premium;Team34;20+20+6+20;0471024003;24d4a339-37f4-4e39-bc3b-13561770e673;5ce78f28-9935-4102-ac20-da13f7de0365;66;1
78;41690;A-1;0471;024;ash-meliert;004;S;A-1-36-A-1;HAKRO Sweatshirt Premium;Team34;20+20+20+18;0471024004;5bcd5de6-7f3c-486c-ac73-301fc05d2604;dd4a7cc8-c498-49d5-8370-48f702cf0450;78;1
79;41691;A-1;0471;024;ash-meliert;005;M;A-1-35-A-2;HAKRO Sweatshirt Premium;Team34;20+7;0471024005;4c31af1c-b6c2-48d0-a77f-0a3e359bce11;52a58370-df6f-41e3-97b4-e972979a4fd7;27;1
80;41692;A-1;0471;024;ash-meliert;006;L;A-1-36-A-2;HAKRO Sweatshirt Premium;Team34;3+25+25+20;0471024006;46f20077-cbe5-4e47-816e-f797cb6e3f35;cdad9e5b-311f-4707-9ef6-0b3d3fcee660;73;1
81;41693;A-1;0471;024;ash-meliert;007;XL;A-1-35-A-3;HAKRO Sweatshirt Premium;Team34;20+20+20+20+20+20+20;0471024007;dacb0288-f327-4f8b-9e75-e601aad5ff34;5b4394e7-d93d-4b28-9073-b711eed8c706;140;1
82;41694;A-1;0471;024;ash-meliert;008;2XL;A-1-35-A-4;HAKRO Sweatshirt Premium;Team34;20+20+20+7;0471024008;f0e28cce-7f2e-4c74-a524-6e8a34e5bd5e;06ebb3e4-4d6e-4659-ba6c-407fb052a002;67;1
83;41695;A-1;0471;024;ash-meliert;009;3XL;A-1-36-A-4;HAKRO Sweatshirt Premium;Team34;20+20+20+3;0471024009;4d6eaa9f-b0a5-48db-ae71-fd9b76a1051a;a1721110-aa50-4f07-ac52-c892b0116a22;63;1
84;41696;B-1;0451;005;schwarz;003;XS;B-1-04-B-1;HAKRO Zip-Sweatshirt Premium;Team33;0+4;0451005003;e52d8faa-0ffd-4c96-821c-6a4ed1ffe22b;1cc42b41-24f7-4485-a6f2-c0095f6a9f6d;4;1
85;41697;B-1;0451;005;schwarz;004;S;B-1-02-B-1;HAKRO Zip-Sweatshirt Premium;Team33;0+1;0451005004;3f6c425a-978f-4c41-b7c5-1ec2e53eb075;841a113a-1470-41f2-8e16-48953dcbf971;1;1
86;41698;B-1;0451;005;schwarz;005;M;B-1-04-B-2;HAKRO Zip-Sweatshirt Premium;Team33;0+0;0451005005;400970ed-9270-4b23-93b4-084d5d60a8a1;a60c16b5-0a3c-430e-8b17-99e24da2dba8;0;1
87;41699;B-1;0451;005;schwarz;006;L;B-1-02-B-2;HAKRO Zip-Sweatshirt Premium;Team33;0+1;0451005006;62d58f1a-1d16-475f-8ea0-f5c9d13fc7e9;a3daf9a3-0ff1-4200-a643-aa6b9fdf162d;1;1
88;41700;B-1;0451;005;schwarz;007;XL;B-1-04-B-3;HAKRO Zip-Sweatshirt Premium;Team33;0+0+0+2;0451005007;dc8206ab-8e04-441c-8ae5-d7925d0773be;9d5c80d3-e011-492b-b861-a04c2afe726f;2;1
89;41701;B-1;0451;005;schwarz;008;2XL;B-1-04-B-4;HAKRO Zip-Sweatshirt Premium;Team33;0+20;0451005008;cc017c3a-8385-41eb-b4db-1c041f4f4c59;33f9fdcc-e59f-48c2-82c7-a774ba2a2b6f;20;1
90;41702;B-1;0451;005;schwarz;009;3XL;B-1-02-B-4;HAKRO Zip-Sweatshirt Premium;Team33;50+25+13+24;0451005009;3da76f1d-1049-413f-b320-aa6000fac8d9;cf6acc28-cfe5-4ad2-9928-dff702ef831c;112;1
91;41703;B-1;0451;010;royal;003;XS;B-1-06-B-1;HAKRO Zip-Sweatshirt Premium;Team33;13+6;0451010003;a19f8400-ef21-4623-b46c-dc8d17a04dec;6400e550-7b31-4783-92fe-c40551ad1e31;19;1
92;41704;B-1;0451;010;royal;004;S;B-1-05-B-1;HAKRO Zip-Sweatshirt Premium;Team33;62+8;0451010004;66842be1-58ff-411f-a64b-ccf4511f1c26;0cf4ffc9-1b80-48dd-be3d-16da4ba59fec;70;1
93;41705;B-1;0451;010;royal;005;M;B-1-06-B-2;HAKRO Zip-Sweatshirt Premium;Team33;0;0451010005;19a7e13f-6093-47c2-8e77-24af0504c10f;4ec73d70-67bc-4125-871a-ab1638ad0ab3;0;1
94;41706;B-1;0451;010;royal;006;L;B-1-05-B-2;HAKRO Zip-Sweatshirt Premium;Team33;0;0451010006;6376dee7-d0ca-4153-80f2-dc76df217ef7;354da721-fb45-47a5-85eb-5c48de2bd755;0;1
95;41707;B-1;0451;010;royal;007;XL;B-1-06-B-3;HAKRO Zip-Sweatshirt Premium;Team33;0+13;0451010007;dc4227d9-892d-49d2-9010-f8f13bd3ac98;b540d012-e8b5-422a-aaf7-fb016a6322bd;13;1
96;41708;B-1;0451;010;royal;008;2XL;B-1-06-B-4;HAKRO Zip-Sweatshirt Premium;Team33;2+14+17;0451010008;6c3be2a5-dd44-4f32-9781-cb633e55649e;25957e9f-ac2b-4e70-aa58-c3c8b2e97cf7;33;1
97;41709;B-1;0451;010;royal;009;3XL;B-1-05-B-4;HAKRO Zip-Sweatshirt Premium;Team33;25+1;0451010009;ea7c547c-6d3c-4280-a47b-4643e06a4d41;12868919-7762-4954-809b-9277ceacb4d3;26;1
98;41710;B-1;0451;028;anthrazit;003;XS;B-1-08-B-1;HAKRO Zip-Sweatshirt Premium;Team33;19;0451028003;6eeeb9f9-6c4b-4899-9fb2-3ba900d49f03;0765e601-31e2-4162-9245-d7d5418c3714;19;1
99;41711;B-1;0451;028;anthrazit;004;S;B-1-07-B-1;HAKRO Zip-Sweatshirt Premium;Team33;21;0451028004;83ad8a55-9195-48ac-bdc2-222d83e57b21;8fa02af4-d1d3-4b4f-9667-34c7704082b5;21;1
100;41712;B-1;0451;028;anthrazit;005;M;B-1-08-B-2;HAKRO Zip-Sweatshirt Premium;Team33;90+23;0451028005;c92c6c5b-c7df-4598-b72f-e809a4a86030;d87376c8-e06e-432e-aaa4-44e1f3b19252;113;1
101;41713;B-1;0451;028;anthrazit;006;L;B-1-07-B-2;HAKRO Zip-Sweatshirt Premium;Team33;90+17;0451028006;5e3cbe12-6c65-4958-913f-65efbe4258d0;0af8df37-a018-4c8e-a21b-65f859407f6b;107;1
102;41714;B-1;0451;028;anthrazit;007;XL;B-1-08-B-3;HAKRO Zip-Sweatshirt Premium;Team33;50+25+15+4;0451028007;bbbe0a09-757a-4a0d-ade1-692539d4c91e;e5ecaa9e-460d-4c51-9457-872311c901b2;94;1
103;41715;B-1;0451;028;anthrazit;008;2XL;B-1-08-B-4;HAKRO Zip-Sweatshirt Premium;Team33;75+19;0451028008;45ab09b2-d111-42de-8f25-6586c76dfcb4;c7b1d1ce-679a-4f43-a646-6c93bd90dfbe;94;1
104;41716;B-1;0451;028;anthrazit;009;3XL;B-1-07-B-4;HAKRO Zip-Sweatshirt Premium;Team33;5+75;0451028009;a7d55169-00e9-4253-8576-53b7f7b11029;f179d2f7-43b1-4b78-9c5d-e3a80706f255;80;1
105;41717;B-1;0451;034;tinte;003;XS;B-1-12-B-1;HAKRO Zip-Sweatshirt Premium;Team33;30+16;0451034003;f78021e3-5671-4632-ba72-eb85ac413f73;0d22c740-4825-4d8b-892f-532a178ee762;46;1
106;41718;B-1;0451;034;tinte;004;S;B-1-10-B-1;HAKRO Zip-Sweatshirt Premium;Team33;60+30+15;0451034004;845798ed-d347-4fba-88c1-3932b47c767d;affeafb5-26ae-4b1f-ab5e-f4eb570078a3;105;1
107;41719;B-1;0451;034;tinte;005;M;B-1-12-B-2;HAKRO Zip-Sweatshirt Premium;Team33;0+34;0451034005;be3e734b-f5e0-40c9-a311-792b39c22c7e;240aacb3-1781-45f1-b716-8dd13ae7ebf3;34;1
108;41720;B-1;0451;034;tinte;006;L;B-1-10-B-2;HAKRO Zip-Sweatshirt Premium;Team33;0+0;0451034006;63a00a2e-10a3-4313-adf2-05ad791690e1;306b7ccb-b894-443b-93c2-9642859fd957;0;1
109;41721;B-1;0451;034;tinte;007;XL;B-1-12-B-3;HAKRO Zip-Sweatshirt Premium;Team33;0+23;0451034007;2224cc75-83b0-4628-9467-af93f3d3b8a6;07349c93-6ecd-4bea-9124-57b994e4a549;23;1
110;41722;B-1;0451;034;tinte;008;2XL;B-1-12-B-4;HAKRO Zip-Sweatshirt Premium;Team33;22+20;0451034008;69483cb3-a676-4783-84c8-2cd4bca7546d;bb49bf0f-5db2-4ea1-955d-6922036da199;42;1
